record_id,source_dataset,offer_group_id,offer_text,master_itemcode,master_itemname,pair_label,pair_label_status,target_action_id,target_action,resolution_scope,use_for_binary_pair_training,use_for_router_training,label_confidence,label_provenance,model_bucket,audit_status,error_type,severity,audit_reason,retailer,price_text,product_class_offer,product_class_master,variant_offer,variant_master,offer_weights_g,master_weights_g,protein_match,family_match,sub_brand_match,spice_match,size_match,word_similarity,character_similarity,token_similarity,recommended_split,split_group,notes,occurrence_count,needs_human_label
RL004496,CLICKFLYER_DUMP_AUTOLABEL,RL004496,al kabeer Tender Chicken Breast 4x(1 kg),CKTCB,TENDER CHICKEN BREAST TRAY PACK,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 450g,Hyper Panda,,,,,,,,,,,,,,,,train,al kabeer tender chicken breast 4x 1 kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001506,CLICKFLYER_DUMP_AUTOLABEL,RL001506,Al Kabeer Zing Shrimp Spicy 750gm,CSL,PRAWNS LARGE 400,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 400g,Matajer AlSaudia,,,,,,,,,,,,,,,,train,al kabeer zing shrimp spicy 750gm,auto-labelled from ClickFlyer dump against Product_Master,8,0
RL001505,CLICKFLYER_DUMP_AUTOLABEL,RL001505,Al Kabeer Zing Shrimp Spicy 750gm,CSJ,JUMBO PRAWNS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 454g,Matajer AlSaudia,,,,,,,,,,,,,,,,train,al kabeer zing shrimp spicy 750gm,auto-labelled from ClickFlyer dump against Product_Master,8,0
RL001504,CLICKFLYER_DUMP_AUTOLABEL,RL001504,Al Kabeer Zing Shrimp Spicy 750gm,CSBA,BREADED SHRIMPS BULK,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 1000g,Matajer AlSaudia,,,,,,,,,,,,,,,,train,al kabeer zing shrimp spicy 750gm,auto-labelled from ClickFlyer dump against Product_Master,8,0
RL001503,CLICKFLYER_DUMP_AUTOLABEL,RL001503,Al Kabeer Zing Shrimp Spicy 750gm,CSB,BREADED SHRIMPS 250,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 250g,Matajer AlSaudia,,,,,,,,,,,,,,,,train,al kabeer zing shrimp spicy 750gm,auto-labelled from ClickFlyer dump against Product_Master,8,0
RL001501,CLICKFLYER_DUMP_AUTOLABEL,RL001501,Al Kabeer Zing Chicken Lollypop 1KG,CKZL,ZING CHICKEN LOLLIPOP 420,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_pack_size,,pack weight: offer 1000g vs SKU 420g,Manuel Market,,,,,,,,,,,,,,,,train,al kabeer zing chicken lollypop 1kg,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001499,CLICKFLYER_DUMP_AUTOLABEL,RL001499,AL KABEER ZING SHRIMPS SPICY,CSL,PRAWNS LARGE 400,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 400g,Manuel Market,,,,,,,,,,,,,,,,train,al kabeer zing shrimps spicy,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001498,CLICKFLYER_DUMP_AUTOLABEL,RL001498,AL KABEER ZING SHRIMPS SPICY,CSJ,JUMBO PRAWNS,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 454g,Manuel Market,,,,,,,,,,,,,,,,train,al kabeer zing shrimps spicy,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001497,CLICKFLYER_DUMP_AUTOLABEL,RL001497,AL KABEER ZING SHRIMPS SPICY,CSBA,BREADED SHRIMPS BULK,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 1000g,Manuel Market,,,,,,,,,,,,,,,,train,al kabeer zing shrimps spicy,auto-labelled from ClickFlyer dump against Product_Master,1,0
RL001496,CLICKFLYER_DUMP_AUTOLABEL,RL001496,AL KABEER ZING SHRIMPS SPICY,CSB,BREADED SHRIMPS 250,0.0,negative,,REJECT_PAIR,candidate_is_wrong,1,1,0.97,real_flyer_catalogue_forced,,CATALOGUE_FORCED,hard_negative_sub_brand,,sub-brand: offer ['zing'] vs SKU none; pack weight: offer 750g vs SKU 250g,Manuel Market,,,,,,,,,,,,,,,,train,al kabeer zing shrimps spicy,auto-labelled from ClickFlyer dump against Product_Master,1,0
