dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
11,15711650,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
55,15737247,AL KABEER CHICKEN KIBBEH 400GM,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,89.68,63.16,85.5,exact,20.69,1,auto_high_confidence
218,15906728,AL KABEER Zing CHICKEN Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
243,15934180,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,43.14,1,auto_high_confidence
309,15945480,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
310,15950517,Al Kabeer Chicken Burger 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,98.0,88.89,84.44,exact,12.85,1,auto_high_confidence
315,15966932,Al Kabeer Zing Chicken Nuggets Spicy 270g,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
391,16083969,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,43.14,1,auto_high_confidence
562,16264515,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,43.14,1,auto_high_confidence
591,16276777,ALKABEER CHICKEN KIBBEH 400GPCE,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,89.3,62.07,85.5,exact,19.84,1,auto_high_confidence
713,16395881,AL KABEER 8 BREADED CHICKEN BURGERS 400G,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.57,86.99,exact,17.53,1,auto_high_confidence
