dump_offer_id,dump_product,dump_product_field,dump_variant,offer_type,expected_match_count,primary_protein,mentioned_proteins,is_mixed_protein_offer,mentioned_product_families,is_multi_family_offer,contains_non_meat_product,dump_spice_variant,unit_pack_weight_g,number_of_units,bonus_weight_g,total_offer_weight_g,piece_count,pack_structure,master_itemcode,master_itemname,master_item_spec,master_unit_weight_g,master_units_per_carton,protein_match,family_match,variant_match,size_match,pack_format_match,word_similarity,character_similarity,token_similarity,match_score,label,label_status,training_eligible,pair_type,match_status,label_source,review_status
D0000,Al Kabeer Jumbo Beef / Chicken Burgers 1kg,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CKKBJ,JUMBO BREADED CHICKEN BURGER 100G BULK,1000 GM X 6 PKTS,1000.0,6.0,1,1,1,1,1,53.3,54.5,64.4,58.9,1,confirmed_positive,1,positive,requires_business_review,rule_generated,needs_review
D0000,Al Kabeer Jumbo Beef / Chicken Burgers 1kg,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CKBB,8 BREADED CHICKEN BURGERS,400 Gms x 12 Pkts,400.0,12.0,1,1,1,0,1,54.3,51.4,62.4,58.3,0,confirmed_negative,1,hard_negative_pack_size,requires_business_review,rule_generated,needs_review
D0000,Al Kabeer Jumbo Beef / Chicken Burgers 1kg,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,CSPCAPR,AK PRO JUMBO PRAWN CRISPIES,10 X 1 KGS,1000.0,,0,1,1,1,1,34.7,38.9,40.0,37.4,0,confirmed_negative,1,hard_negative_protein,requires_business_review,rule_generated,needs_review
D0000,Al Kabeer Jumbo Beef / Chicken Burgers 1kg,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,VCB10A,BONELESS CHICKEN BREAST 10,2 kg x 5 Pkts,2000.0,5.0,1,0,1,0,1,49.3,42.5,47.9,48.6,0,confirmed_negative,1,hard_negative_type,requires_business_review,rule_generated,needs_review
D0000,Al Kabeer Jumbo Beef / Chicken Burgers 1kg,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,1000.0,1.0,,1000.0,,single_pack,MC40,MUTTON CUBES,2 lbs x 20 Pkts,907.184,20.0,0,0,1,1,1,35.9,29.1,36.2,36.0,0,confirmed_negative,1,easy_negative,requires_business_review,rule_generated,needs_review
D0002,Al Kabeer Burger Beef Onion 24'S,Beef Burger-Frozen,Unbreaded,single_product,1,beef,beef,0,burgers,0,0,unspecified,,,,,24.0,piece_count,CBBO24,24 BEEF BURGERS,1.2 Kgs x 8 Pkts,1200.0,8.0,1,1,1,1,1,60.6,55.0,51.9,56.2,1,confirmed_positive,1,positive,exact_single_sku,rule_generated,approved
D0002,Al Kabeer Burger Beef Onion 24'S,Beef Burger-Frozen,Unbreaded,single_product,1,beef,beef,0,burgers,0,0,unspecified,,,,,24.0,piece_count,CBBOT,TAYEBAT BEEF BURGERS ONION BULK,1 Kgs x 9 Pkts,1000.0,9.0,1,1,1,0,1,56.1,50.4,56.5,56.3,0,confirmed_negative,1,hard_negative_pack_size,exact_single_sku,rule_generated,approved
D0002,Al Kabeer Burger Beef Onion 24'S,Beef Burger-Frozen,Unbreaded,single_product,1,beef,beef,0,burgers,0,0,unspecified,,,,,24.0,piece_count,CKBB,8 BREADED CHICKEN BURGERS,400 Gms x 12 Pkts,400.0,12.0,0,1,1,0,1,50.8,43.1,45.7,48.2,0,confirmed_negative,1,hard_negative_protein,exact_single_sku,rule_generated,approved
D0002,Al Kabeer Burger Beef Onion 24'S,Beef Burger-Frozen,Unbreaded,single_product,1,beef,beef,0,burgers,0,0,unspecified,,,,,24.0,piece_count,CKBS,8 BEEF SEEKH KEBAB,320 Gms x 24 Pkts,320.0,24.0,1,0,1,0,1,47.4,35.1,45.8,46.6,0,confirmed_negative,1,hard_negative_type,exact_single_sku,rule_generated,approved
D0002,Al Kabeer Burger Beef Onion 24'S,Beef Burger-Frozen,Unbreaded,single_product,1,beef,beef,0,burgers,0,0,unspecified,,,,,24.0,piece_count,CKBCFNSAP,Breaded Chicken Fillets Non Spicy +33% Free,(750 g. + 250 g.) x 8,750.0,,0,0,1,0,1,29.4,30.6,32.4,30.9,0,confirmed_negative,1,easy_negative,exact_single_sku,rule_generated,approved
D0003,Al Kabeer Chicken /Beef Burger 200 gm,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,200.0,1.0,,200.0,,single_pack,CKKB,4 CHICKEN BURGERS,200 Gms x 30 Pkts,200.0,30.0,1,1,1,1,1,55.5,50.4,55.3,55.4,1,confirmed_positive,1,positive,requires_business_review,rule_generated,needs_review
D0003,Al Kabeer Chicken /Beef Burger 200 gm,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,200.0,1.0,,200.0,,single_pack,CKKB8,8 CHICKEN BURGERS,400 Gms x 20 Pkts,400.0,20.0,1,1,1,0,1,57.1,48.7,57.4,57.3,0,confirmed_negative,1,hard_negative_pack_size,requires_business_review,rule_generated,needs_review
D0003,Al Kabeer Chicken /Beef Burger 200 gm,Beef Burger-Frozen,Unbreaded,multiple_choice,2,,beef|chicken,1,burgers,0,0,unspecified,200.0,1.0,,200.0,,single_pack,VSC10,SWEET CORN BULK,1 kg x 10 Pkts,1000.0,10.0,0,1,1,0,1,37.9,34.5,40.8,39.4,0,confirmed_negative,1,hard_negative_protein,requires_business_review,rule_generated,needs_review
