dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
11,15711650,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
11,15711650,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,2,CKZSCKNP,Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,(750 g.+750 g.) x 4,STRIPS,66.83,83.58,85.5,conflict,,0,auto_high_confidence
11,15711650,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,3,CKZFACKNP,Zing Chicken Fillets Spicy + Free Chicken Nuggets,1kg+750 g. x 3,FILLETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
11,15711650,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,4,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,8 X 750 GMS,NUGGETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
11,15711650,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,5,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,55.08,50.0,85.5,conflict,,0,auto_high_confidence
55,15737247,AL KABEER CHICKEN KIBBEH 400GM,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,1,CBK,BEEF KIBBEH 400,400 Gms x 12 Pkts,KOFTA-KIBBEH-FELAFEL,89.68,63.16,85.5,exact,20.69,1,auto_high_confidence
55,15737247,AL KABEER CHICKEN KIBBEH 400GM,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,2,BVL3,VEAL LEGS 3.6,Asstd. Wt.,MEAT-INDIAN-TRD,68.99,38.33,85.5,,,0,auto_high_confidence
55,15737247,AL KABEER CHICKEN KIBBEH 400GM,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,3,BC40,BEEF CUBES,2 lb x 20 Pkts,MEAT-INDIAN-TRD,68.52,36.97,85.5,,,0,auto_high_confidence
55,15737247,AL KABEER CHICKEN KIBBEH 400GM,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,4,BTS,BEEF TOPSIDE ALK,20 KGS,MEAT-INDIAN-TRD,52.41,42.37,85.5,conflict,,0,auto_high_confidence
55,15737247,AL KABEER CHICKEN KIBBEH 400GM,Al Kabeer,Chicken Kibbeh-Frozen,No Variant,Frozen Kofta / Kibbeh & Meat Balls,400 gm,5,CBBOT,TAYEBAT BEEF BURGERS ONION BULK,1 Kgs x 9 Pkts,BURGERS,52.21,41.82,85.5,conflict,,0,auto_high_confidence
218,15906728,AL KABEER Zing CHICKEN Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
218,15906728,AL KABEER Zing CHICKEN Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,2,CKZSCKNP,Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,(750 g.+750 g.) x 4,STRIPS,66.83,83.58,85.5,conflict,,0,auto_high_confidence
218,15906728,AL KABEER Zing CHICKEN Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,3,CKZFACKNP,Zing Chicken Fillets Spicy + Free Chicken Nuggets,1kg+750 g. x 3,FILLETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
218,15906728,AL KABEER Zing CHICKEN Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,4,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,8 X 750 GMS,NUGGETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
218,15906728,AL KABEER Zing CHICKEN Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,5,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,55.08,50.0,85.5,conflict,,0,auto_high_confidence
243,15934180,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,100.0,91.14,86.58,exact,43.14,1,auto_high_confidence
243,15934180,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,2,CBBAGPR,AK PRO BEEF BURGER 24,1.392 kg x 6 Pkts,BURGERS,56.86,55.1,85.5,conflict,,0,auto_high_confidence
243,15934180,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,3,CBBUR,BEEF BURGERS 56 g.,840 g. x 9,BURGERS,56.83,55.0,85.5,conflict,,0,auto_high_confidence
243,15934180,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,4,CBBO,4 BEEF BURGERS,200 Gms x 30 Pkt,BURGERS,56.74,54.76,85.5,conflict,,0,auto_high_confidence
243,15934180,Al Kabeer Frozen Breaded Chicken Burgers 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,5,CBBOA,BEEF BURGERS BULK,2 Kgs x 5 Pkts,BURGERS,55.76,51.95,85.5,conflict,,0,auto_high_confidence
309,15945480,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,1,CKZN,ZING CHICKEN NUGGETS REGULAR,270 Gms x 20 Pkts,NUGGETS,89.4,80.0,76.0,exact,22.57,1,auto_high_confidence
309,15945480,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,2,CKZSCKNP,Zing Strips Non Spicy + Free Chicken Nuggets Combo Pack,(750 g.+750 g.) x 4,STRIPS,66.83,83.58,85.5,conflict,,0,auto_high_confidence
309,15945480,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,3,CKZFACKNP,Zing Chicken Fillets Spicy + Free Chicken Nuggets,1kg+750 g. x 3,FILLETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
309,15945480,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,4,CKZNNS,ZING CHICKEN NUGGET NON-SPICY,8 X 750 GMS,NUGGETS,62.87,83.58,79.4,conflict,,0,auto_high_confidence
309,15945480,Al Kabeer Zing Chicken Nuggets Spicy 270 gm,Al Kabeer,Chicken Nuggets-Frozen,Spicy,Zing,270 gm,5,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,55.08,50.0,85.5,conflict,,0,auto_high_confidence
310,15950517,Al Kabeer Chicken Burger 400g,Al Kabeer,Chicken Burger-Frozen,Breaded,Frozen Burger,400 gm,1,CKBBS,8 BREADED CHICKEN BURGER HOT & SPICY,400 gm x 12 Pkts,BURGERS,98.0,88.89,84.44,exact,12.85,1,auto_high_confidence
