dump_row_id,offerid,offer_name,brand_name,dump_product,dump_variant,dump_segment,dump_packsize,candidate_rank,master_itemcode,master_itemname,master_item_spec,master_category,match_score,token_set_score,wratio_score,size_status,top1_margin,label,label_source
2,15704454,Al Kabeer krazee Chicken nuggets 750gm,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFB,BEEF FRANKS,454 Gms x 20 Pkts,SAUSAGES,52.41,42.37,85.5,conflict,0.06,,manual_required
14,15713856,Al Kabeer Paneer Cubes 200gm,Al Kabeer,Paneer,No Variant,Paneer,200 gm,1,CKCCR,CHICKEN ‘N’ CHEESE RINGS 300,300 gms x 12 pkts,POP-CORN & CHICKEN FRIES,52.31,42.11,85.5,conflict,0.09,,manual_required
18,15721455,AL KABEER ZING CHICKEN STRIPS/FILLET 750 GM,Al Kabeer,Chicken Strips-Frozen,No Variant,Zing,750 gm,1,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,53.73,46.15,85.5,conflict,0.35,,manual_required
19,15721455,AL KABEER ZING CHICKEN STRIPS/FILLET 750 GM,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CKSK,SHISH KEBAB,600 Gms x 12 Pkts,KEBAB,53.13,44.44,85.5,conflict,0.31,,manual_required
20,15723587,ALKABEER TENDER CHICKEN BREAST 1000GM,Al Kabeer,Chicken Breast-Frozen,No Variant,Frozen Chicken Parts,1000 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,52.58,42.86,85.5,conflict,0.19,,manual_required
24,15723595,AL KABEER CHICKEN NUGGETS 750GM + AL KABEER SAMOSA 240GM,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCSK,KIRI CHEESE SAMOSA,20 X 240 GMS,SAMOSA,54.19,47.46,85.5,conflict,0.07,,manual_required
25,15723596,ALKABEER FRENCH FRIES 2500GM,Al Kabeer,French Fries-Frozen,No Variant,Frozen Fries & Onion Rings,2.5 kg,1,CKKB24,24 CHICKEN BURGERS,1.2 Kgs x 8 Pkts,BURGERS,52.13,41.58,85.5,conflict,0.28,,manual_required
26,15723597,ALKABEER CHICKEN NUGGETS / BREADED CHICKEN FILLET 750GM,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCF,CHICKEN FRIES,12 PKTS X 400 GRM,POP-CORN & CHICKEN FRIES,54.63,48.74,85.5,conflict,0.22,,manual_required
27,15723597,ALKABEER CHICKEN NUGGETS / BREADED CHICKEN FILLET 750GM,Al Kabeer,Chicken Fillets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CCF,CHICKEN FRIES,12 PKTS X 400 GRM,POP-CORN & CHICKEN FRIES,54.11,47.24,85.5,conflict,0.15,,manual_required
29,15723601,AL-KABEER ZING CHICKEN FILLET (NISPC) 750GM,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CKSAPR,AK PRO CHICKEN SAMOSA,4 X 1.2 KGS,SAMOSA,53.21,44.66,85.5,conflict,0.38,,manual_required
33,15727826,AL KABEER ZING CHICKEN FILLET NO SPICY 750GR,Al Kabeer,Chicken Fillets-Frozen,No Variant,Zing,750 gm,1,CKN,CHICKEN NUGGETS,270 Gms x 20 Pkts,NUGGETS,54.17,47.42,85.5,conflict,1.12,,manual_required
36,15727831,AL KABEER CHICKEN NUGGET / FILLET 750 GR,Al Kabeer,Chicken Nuggets-Frozen,No Variant,Marinated & Breaded,750 gm,1,CFBF,BREADED FISH FILLET,330 Gms x 20 Pkts,FILLETS,54.69,48.89,85.5,conflict,1.5,,manual_required
51,15734328,"AL KABEER MIXED VEGETABLES, 900 GRAMS",Al Kabeer,Mix Vegetables-Frozen,No Variant,Frozen Vegetables,900 gm,1,CFBJ,JUMBO HOTDOGS,400 Gms x 20 Pkts,SAUSAGES,51.88,40.86,85.5,conflict,0.3,,manual_required
