dump_product,Product,Variant,Base Packsize,protein,types,reason
Al Kabeer Burger Beef/Chicken Onion 24'S,Beef Burger-Frozen,Unbreaded,1 pack,beef/chicken,burgers,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken/Beef Burgers 15pc 840gm,Beef Burger-Frozen,Unbreaded,840 gm,beef/chicken,burgers,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Bobby Veal/Beef Cubes 900gm ,Beef Cube-Frozen,No Variant,900 gm,beef,cube,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Beef Cube 2lb,Beef Cube-Frozen,No Variant,907 gm,beef,cube,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Jumbo Hot Dog / cocktail 400 Gm,Beef Franks-Frozen,No Variant,400 gm,beef,hotdog/sausage,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Beef Franks 454gm,Beef Franks-Frozen,No Variant,454 gm,beef,hotdog,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Blackberries/Blueberries 250 gm,Blueberries-Frozen,No Variant,250 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Blackberries/Blueberries 350 gm,Blueberries-Frozen,No Variant,350 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Frozen Blueberries 400 gm,Blueberries-Frozen,No Variant,400 gm,,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer BOBBY VEAL 2 LBS,Bobby Veal-Frozen,No Variant,2 lbs,beef,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Bobby Veal 900g,Bobby Veal-Frozen,No Variant,900 gm,beef,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Bobby Veal 907 gm,Bobby Veal-Frozen,No Variant,907 gm,beef,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer BOBBY VEAL 908 gm,Bobby Veal-Frozen,No Variant,908 gm,beef,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Tandoori Chicken Tikka/Cheese Stick (240 gm),Cheese Stick/Nuggets-Frozen,No Variant,240 gm,chicken/veg,cheese_stick/nuggets,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
"AL KABEER CHICKEN SEEKH KABAB, TANDOORI, MEAT BALL OR CHEESE STICKS 240 - 320 gm",Cheese Stick/Nuggets-Frozen,No Variant,300 gm,chicken/veg,cheese_stick/kebab/nuggets,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Assorted (Chicken Burgers 1200g/Beef Burgers 1200g),Chicken Burger-Frozen,Breaded,1200 gm,beef/chicken,burgers,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer ZING CHICKEN STRIPS/REGULAR/BURGER 750 gm,Chicken Burger-Frozen,Breaded,750 gm,chicken,burgers/strips,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Burger Beef/Chicken Onion 24'S,Chicken Burger-Frozen,Unbreaded,1 pack,beef/chicken,burgers,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Frozen Blueberries 350 gm,Chicken Cheese Stick-Frozen,Hot & Spicy,400 gm,chicken/veg,cheese_stick,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Jumbo Chicken Sticks 1000Gm,Chicken Cheese Stick-Frozen,No Variant,1000 gm,chicken/veg,cheese_stick,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Sticks/Fillets selected ,Chicken Fillets-Frozen,No Variant,1 pack,chicken,fillet,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken Nuggets/Fries/Fillets 400gm,Chicken Fillets-Frozen,No Variant,400 gm,chicken,fillet/fries_wedges/nuggets,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken and Cheese/spicy Fingers 1 kg,Chicken Fingers-Frozen,Spicy,1 kg,chicken/veg,fries_wedges,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER JUMBO CHICKEN NUGGET ORANGE/FRIES/BREADED FILLET H/S / STICK CATLET 750/1000GM,Chicken Fries-Frozen,No Variant,750 gm,chicken,fillet/fries_wedges/nuggets,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
AL KABEER Chicken Kibbeh 1000GM ,Chicken Kibbeh-Frozen,No Variant,1 kg,chicken,kibbeh,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
ALKABEER CHICKEN KOFTA/VEGETABLE SAMOSA/SPRING ROLL/ROLLS 240/300/280 gm,Chicken Kofta-Frozen,No Variant,240 gm,chicken/veg,samosa/spring_roll,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
Al Kabeer Chicken/Beef Meat Ball 1 kg,Chicken Meatballs-Frozen,No Variant,1 kg,beef/chicken,,no master SKU passed protein+type+pack gates at a confident text-match score (>=55)
