Country,family,offers,closest_own_family,score
Saudi Arabia,all purpose flour,5746,tortilla wraps,38.70967741935484
Saudi Arabia,sweet corn canned,4696,sweet corn,74.07407407407408
Saudi Arabia,chicken mosahab,3114,chicken kofta,71.42857142857143
UAE,all purpose flour,2909,peeled shrimps prawns,36.8421052631579
UAE,paneer,1961,parathas,42.85714285714286
UAE,sweet corn canned,1915,chicken popcorn,43.75
UAE,white fish fillet,1753,zing fish fillet,78.78787878787878
Saudi Arabia,chicken escalope,1049,chicken fries,68.96551724137932
UAE,tortilla wraps,913,potato wedges,44.44444444444444
UAE,chapatti,846,chicken tikka,38.095238095238095
UAE,sweet corn,402,potato wedges,43.47826086956522
Saudi Arabia,quail,300,falafel,33.333333333333336
UAE,chicken tender,284,chicken strips,71.42857142857143
UAE,mango,205,zing shrimps,35.29411764705882
Saudi Arabia,chapatti,197,chicken tikka,38.095238095238095
UAE,blueberries,143,beef burgers,52.17391304347826
UAE,sausages,140,samosas,66.66666666666667
UAE,quail,140,falafel,33.333333333333336
UAE,chicken escalope,72,chicken fries,68.96551724137932
UAE,beef franks,63,chicken franks,64.0
UAE,hotdogs,55,potato wedges,50.0
Saudi Arabia,meat kibbeh,44,lamb kibbeh,72.72727272727273
UAE,chicken tandoori,39,chicken strips,73.33333333333334
UAE,meat kibbeh,21,beef kibbeh,54.54545454545454
Saudi Arabia,vegetable burgers,20,mix vegetables,64.51612903225806
Saudi Arabia,vegetable nuggets,19,mix vegetables,64.51612903225806
UAE,chicken fingers,18,chicken fries,85.71428571428572
UAE,vegetable nuggets,14,vegetable burgers,82.35294117647058
Saudi Arabia,chicken kubbe balls,12,chicken kibbeh,72.72727272727273
Saudi Arabia,beef kubbe,9,beef kibbeh,85.71428571428572
UAE,chicken mosahab,4,chicken kofta,71.42857142857143
UAE,chicken rings,2,chicken fries,84.61538461538461
UAE,lamb kibbeh,1,beef kibbeh,54.54545454545454
