dataset,n,model,PR_AUC,Hit@1,Coverage@4,FullCover@4
HELD-OUT TAIL (unseen),29,1 original,0.5512181039220587,0.6551724137931034,0.7931034482758621,0.7241379310344828
HELD-OUT TAIL (unseen),29,2 human-100,0.4965479660497423,0.6896551724137931,0.8793103448275862,0.8275862068965517
HELD-OUT TAIL (unseen),29,3 human-160,0.5994969760841482,0.7241379310344828,0.8620689655172413,0.7931034482758621
HELD-OUT TAIL (unseen),29,4 +synthetic,0.6956434045083606,0.7931034482758621,0.8620689655172413,0.7931034482758621
HELD-OUT TAIL (unseen),29,5 +features,0.6662510554695108,0.7586206896551724,0.8620689655172413,0.7931034482758621
all gold (mostly trained on),160,1 original,0.5270379156776557,0.7375,0.875,0.8375
all gold (mostly trained on),160,2 human-100,0.8601664478530868,0.8625,0.9427083333333334,0.9125
all gold (mostly trained on),160,3 human-160,0.9600454845754757,0.91875,0.9546875,0.93125
all gold (mostly trained on),160,4 +synthetic,0.9893999508223551,0.95,0.9661458333333334,0.94375
all gold (mostly trained on),160,5 +features,0.9640284492051875,0.925,0.9630208333333334,0.94375
