Al Kabeer Master SKU,Competitor Brand Names,Competitor Offers
BC40 - BEEF CUBES,,
BF - BEEF TENDERLOIN/FILLET,,
BTS - BEEF TOPSIDE ALK,,
BVL3 - VEAL LEGS 3.6,,
CBBAGPR - AK PRO BEEF BURGER 24,,
CBBG100 - CHAR.JUMBO BEEF BURGERS BULK(100G)6*1 KG,,
CBBO - 4 BEEF BURGERS,,
CBBO24 - 24 BEEF BURGERS,,
CBBOA - BEEF BURGERS BULK,,
CBBOT - TAYEBAT BEEF BURGERS ONION BULK,,
CBBUR - BEEF BURGERS 56 g.,,
CBK - BEEF KIBBEH 400,,
CCCB - CHICKEN BIRYANI 400,,
CCCTM - CHICKEN TIKKA MAKHANI & PILAU RICE,,
CCF - CHICKEN FRIES,,
CCFA - CHICKEN FRIES BULK,1. Al Islami,1. al islami chicken nuggets 2x500 gm / chicken popcorn 2x500 gm / chicken fries 2x400 gm (400 gm)
CCKSB - CHICKEN STICKS BULK,,
CCKSHA - CHICKEN STICK BULK HOT & SPICY,,
CCMS - MOZZERELLA CHEESE STICKS,,
CCMSA - MOZZARELLA CHEESE STICKS,,
CCSAK - 12 CHEESE SAMOSAS,,
CCSAKA - CHEESE SAMOSAS BULK,,
CCSAKPR - A.K PRO CHEESE SAMOSA,,
CCSK - KIRI CHEESE SAMOSA,,
CCSKJP - Kiri Cheese & Jalapeño Samosas 240 g. X 20,,
CCSKZR - Kiri Cheese & Zaatar Samosas 240 g. X 20,,
CCSRA - 8 CHEESE SPRING ROLLS,,
CFB - BEEF FRANKS,,
CFBF - BREADED FISH FILLET,,
CFBFA - BREADED FISH FILLET BULK,"1. Non Branded
2. Asmak
3. Adriana
4. others
5. Dari","1. Fish Fillets 1Kg (1 kg)
2. ASMAK FISH WHITE FILLETS 1KG (1 kg)
3. Adriana White Fish Fillets 1Kg (1 kg)
4. Fish Fillet 1 kg (1 kg)
5. White Fish Fillet 1 kg (1 kg)"
CFBJ - JUMBO HOTDOGS,,
CFS - FISH FINGERS 300,,
CFSA - FISH STICKS BULK,,
CFZFB - ZING FISH FILLETS MILD SPICY,,
CKB - ARABIC KOFTA,,
CKB24PR - AK PRO CHICKEN BURGER 24,,
CKBB - 8 BREADED CHICKEN BURGERS,,
CKBBA50 - BREADED CHICKEN BURGERS 50GM CAT,,
CKBBAD - Breaded Chicken Burger Bag (56 g.),,
CKBBADPR - AK PRO Breaded Chicken Burger Bag 840 g. x 8,,
CKBBS - 8 BREADED CHICKEN BURGER HOT & SPICY,,
CKBBT - TAYEBAT BREADED CHICKEN BURGERS BULK,,
CKBBTY - TAYEBAT BREADED CHICKEN BURGERS 840 g. x 8 Pkts,,
CKBCF - BREADED CHICKEN FILLETS,,
CKBCFFAPR - AK PRO Breaded Chicken Fillets,,
CKBCFH - BREADED CHICKEN FILLETS HOT N SPICY,,
CKBCFHA - BREADED CHICKEN FILLETS HOT N SPICY BULK,"1. Seara
2. Qualiko
3. Sadia
4. Lulu
5. Al Zook","1. Seara Spicy Breaded Chicken Fillet 1000 gm (1 kg)
2. Qualiko Breaded chicken Fillets 1kg (1 kg)
3. Sadia Breaded Chicken Zings Fillet 1000 gm (1000 gm)
4. Lulu Breaded Chicken Fillet 1 kg (1 kg)
5. AL-ZOOK BREADED CHICKEN FILLET 900 GM  (900 gm)"
CKBCFHDA - BREADED CHICKEN FILLET SPICY 750 GMS,"1. Al Wadi
2. Seara
3. Al Wadi
4. Sadia
5. Seara
6. Seara
7. Seara
8. Seara
9. Seara
10. Seara
11. Seara
12. Americana
13. Asaffa
14. Asaffa
15. Asaffa
16. Asaffa
17. Seara
18. Seara
19. Al Wadi
20. Seara
21. Al Zain
22. Al Zain
23. Al Zain
24. Eastco
25. Al Zain
26. Crispy Bites
27. Al Zain
28. Farm Fresh
29. Farm Fresh
30. Al Islami
31. Farm Fresh
32. Farm Fresh
33. Al Areesh
34. Chill Berry
35. Chill Berry
36. Chill Berry
37. Lulu
38. Lulu
39. Lulu
40. Al Zain
41. Lulu
42. Lulu
43. Lulu
44. Seara
45. Farm Fresh
46. Seara
47. Seara
48. Sadia
49. Farm
50. Lulu
51. Lulu
52. Crispy Bites
53. Crispy Bites
54. Crispy Bites
55. Lulu
56. Freshly Foods (Fff)
57. Al Areesh
58. Crispy Bites
59. Qualiko
60. Eastco
61. Qualiko
62. Qualiko
63. Lulu
64. Farm
65. Farm
66. Farm Fresh
67. Farm Fresh
68. Farm Fresh
69. Crispy Bites
70. Crispy Bites
71. Siniora
72. Farm Fresh
73. Seara
74. Al Areesh","1. Al wadi SPICY BREADED CHICKEN FILLET 750 gm (750 gm)
2. Seara Spicy Breaded Chicken Fillet 1000 gm (1 kg)
3. Al wadi SPICY BREADED CHICKEN FILLET 750 gm (750 gm)
4. Sadia Breaded Chicken Fillets / Chicken Nuggets 750gm (750 gm)
5. Chicken Fillet Spicy 2x750g (750 gm)
6. Chicken Fillet Spicy 2x750g (750 gm)
7. Chicken Fillet Spicy 2x750g (750 gm)
8. Chicken Fillet Spicy 2x750g (750 gm)
9. Chicken Fillet Spicy 2x750g (750 gm)
10. Chicken Fillet Spicy 2x750g (750 gm)
11. Chicken Fillet Spicy 2x750g (750 gm)
12. Americana Chicken Fillet 420gm x 2 / Chicken Fries 400gm x 2 (2x400 gm)
13. A'saffa Breaded Chicken Fillet/Nuggets 400 gm x 2 (400 gm)
14. A'saffa Breaded Chicken Fillet/Nuggets 400 gm x 2 (400 gm)
15. A'saffa Breaded Chicken Fillet/Nuggets 400 gm x 2 (400 gm)
16. A'saffa Breaded Chicken Fillet/Nuggets 400 gm x 2 (400 gm)
17. Seara Spicy Chicken Strips 750 gm +250 gm / Spicy Chicken Fillets 750gm + 250 gm / Chicken Fillet 750 gm + 250 gm ((750+250) gm)
18. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
19. Al wadi SPICY BREADED CHICKEN FILLET 750 gm (750 gm)
20. Seara Chicken Fillet/Fillet Spicy 750gm (750 gm)
21. Al Zain Breaded Chicken Fillet 2x400 gm (2x400 gm)
22. Al Zain Breaded Chicken Fillet 2x400 gm (2x400 gm)
23. Al Zain Breaded Chicken Fillet 2x400 gm (2x400 gm)
24. Eastco Breaded Chicken Fillet Spicy 1kg (1 kg)
25. Al Zain Breaded Chicken Fillet 2x400 gm (2x400 gm)
26. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
27. Al Zain Breaded Chicken Fillet 2x400 gm (2x400 gm)
28. Farm Fresh Breaded Chicken Fillet 2x420 gm Chicken Fries 2x400 gm (400 gm)
29. Farm Fresh Chicken Nuggets 2x400g, Breaded Chicken Fillet 2x400g (400 gm)
30. Al Islami Breaded Chicken Nuggets/Chicken Fillet 500gm x2 (500 gm)
31. Farm Fresh Chicken Nuggets 2x400g, Breaded Chicken Fillet 2x400g (400 gm)
32. Farm Fresh Chicken Nuggets 2x400g, Breaded Chicken Fillet 2x400g (400 gm)
33. Breaded Chicken Strips 700gm (700 gm)
34. Chill Bery Breaded Chicken Fillet Spicy/Regular 2x400 gm (400 gm)
35. Chill Bery Breaded Chicken Fillet Spicy/Regular 2x400 gm (400 gm)
36. Chill Bery Breaded Chicken Fillet Spicy/Regular 2x400 gm (400 gm)
37. LuLu Breaded Chicken Fillet 400 gm x 2 (400 gm)
38. LuLu Breaded Chicken Fillet 400 gm x 2 (400 gm)
39. LuLu Breaded Chicken Fillet 400 gm x 2 (400 gm)
40. Al Zain Breaded Chicken Fillet 2x400 gm (2x400 gm)
41. LuLu Breaded Chicken Fillet 400 gm x 2 (400 gm)
42. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
43. LuLu Breaded Chicken Fillet 400 gm x 2 (400 gm)
44. Seara Chicken Fillets/Spicy /Nuggets 750 gm+250 gm ((750+250) gm)
45. Farm Fresh Chicken Nuggets 2x400g, Breaded Chicken Fillet 2x400g (400 gm)
46. Seara Chicken Fillets/Spicy /Nuggets 750 gm+250 gm ((750+250) gm)
47. Seara Chicken Fillets/Spicy /Nuggets 750 gm+250 gm ((750+250) gm)
48. Broasted Chicken Fillets / Broasted Chicken Strips 2 X 750 gm (750 gm)
49. Farm Breaded Chicken Fillet 750 gm (750 gm)
50. LuLu Breaded Chicken Fillet 750gm (750 gm)
51. LuLu Breaded Chicken Fillet 750gm (750 gm)
52. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
53. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
54. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
55. LuLu Breaded Chicken Fillet 400 gm x 2 (400 gm)
56. FFF Breaded Chicken Fillet 350g (350 gm)
57. ALAREESH Breaded Chicken Fillet 2x335 gm (335 gm)
58. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
59. Breaded Chicken Nuggets, 700 gm (700 gm)
60. Eastco Breaded Chicken Fillet /Nuggets 1 kg (1 kg)
61. Breaded Chicken Nuggets, 700 gm (700 gm)
62. Breaded Chicken Nuggets, 700 gm (700 gm)
63. LuLu Breaded Chicken Fillet 750gm (750 gm)
64. Farm Breaded Chicken Fillet 750 gm (750 gm)
65. Farm Breaded Chicken Fillet 750 gm (750 gm)
66. Farm Fresh Breaded Chicken Fillet 2x400g (420 gm)
67. Farm Fresh Breaded Chicken Fillet 2x400g (420 gm)
68. Farm Fresh Breaded Chicken Fillet 2x400g (420 gm)
69. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
70. Lulu Breaded Chicken Fillet 750 gm + 250 gm ((750+250) gm)
71. Siniora Chicken Fillets Spicy 750 gm (750 gm)
72. Farm Fresh Breaded Chicken Fillet 2x400g (420 gm)
73. Seara Chicken Fillets/Spicy /Nuggets 750 gm+250 gm ((750+250) gm)
74. Al Areesh Chicken Krazy Nuggets 500gm x2/ Breaded Fillet 330gm x 2 (500 gm)"
CKBCFNSA - BREADED CHICKEN FILLET NON-SPICY 750 GMS,,
CKBCFNSAP - Breaded Chicken Fillets Non Spicy +33% Free,,
CKBCFS - BREADED CHICKEN FILLETS BULK,,
CKBCS - BEEF COCKTAIL SAUSAGES,,
CKBMTY - TAYEBAT BEEF MEAT BALLS 1 kg x 10 Pkts,,
CKBS - 8 BEEF SEEKH KEBAB,,
CKBT - TAYEBAT CHICKEN BURGER,"1. Tayebat Al Emarat
2. Tayebat Al Emarat
3. Seara
4. Seara
5. Doux
6. Shahia
7. Shahia
8. Taybat
9. Taybat
10. Herfy Foods","1. TAYEBAT Breaded Chicken Burgers 900 gm (900 gm)
2. TAYEBAT Breaded Chicken Burgers 900 gm (900 gm)
3. Seara Chicken Burgers 12's / 20's (900/1000Gm) (900 gm)
4. Seara Chicken Burgers 12's / 20's (900/1000Gm) (900 gm)
5. Doux Chicken Burgers 660gm (660 gm)
6. Shahia Chicken Burgers Jumbo 1000 gm (1000 gm)
7. Shahia Chicken Burgers Jumbo 1000 gm (1000 gm)
8. Taybat 20 chicken burgers 1 kg (1 kg)
9. Taybat 20 chicken burgers 1 kg (1 kg)
10. Herfy Breaded Chicken Burgers (840/900g) (900 gm)"
CKBTY - TAYEBAT CHICKEN BURGERS 1 kg x 10 Pkts,,
CKBW - BBQ CHICKEN WINGS 400,,
CKCCN - CHICKEN  N CHEESE NUGGETS,,
CKCCNS - CHICKEN & CHEESE STICKS HOT & SPICY,,
CKCCR - CHICKEN ‘N’ CHEESE RINGS 300,,
CKCCS - CHICKEN & CHEESE STICKS,,
CKCCSA - CHICKEN & CHEESE STICKS BULK,,
CKCCSHA - CHICKEN & CHEESE STICKS SPICY BULK,,
CKCCSP - CHICKEN & CHEESE STICKS TWIN PROMO PACK,,
CKCK - CHICKEN KOFTA 300,,
CKCKB - CHICKEN BURGERS 56 g,,
CKCM - CHICKEN MINCE 400,,
CKCMF - CHICKEN MINCE (15% FREE ),,
CKCS - 8 CHICKEN SEEKH KEBAB,,
CKCSB - CHICKEN SEEKH KEBAB BULK,,
CKFNSTY - TAYEBAT BREADED CHICKEN FILLETS NON SPICY 1 kg x 10 Pkts,,
CKJCNA - JUMBO CHICKEN NUGGETS,,
CKJS - JUMBO CHICKEN STICKS (BULK),,
CKK - CHICKEN KIBBEH 400,,
CKKB - 4 CHICKEN BURGERS,,
CKKB100B - CHARGRILLED JUMBO CHICKEN BURGERS,,
CKKB24 - 24 CHICKEN BURGERS,"1. Radwa
2. Radwa
3. Arctic Gold
4. Al Areesh","1. Radwa Chicken Burger 1120gm / Breaded 1440gm x 2pcs (1440 gm)
2. Radwa Chicken Burger 1120gm / Breaded 1440gm x 2pcs (1440 gm)
3. Arctic Gold Burger Chicken 24 Chicken Burgers 1.2 kg (1.2 kg)
4. AL AREESH CHICKEN BURGER 12000M 24""S (1200 gm)"
CKKB24A - 24 CHICKEN BURGERS BULK,,
CKKB24F - 24 CHICKEN BURGERS (4PCS FREE),,
CKKB50PR - AK PRO Chicken Burger 50 g. 1 kg x 10,,
CKKB8 - 8 CHICKEN BURGERS,,
CKKBJ - JUMBO BREADED CHICKEN BURGER 100G BULK,"1. Tayebat Al Emarat
2. Sadia
3. Seara
4. Herfy Foods
5. Prime","1. Breaded Chicken Burgers 900gm (900 gm)
2. Breaded Chicken Burger 1KG/840 gm (840 gm)
3. SEARA BREADED CHICKEN BURGER JUMBO /CHICKEN BURGER 1000GM (1000 gm)
4. Herfy Breaded Chicken Burgers (840/900g) (900 gm)
5. PRIME BREADED CHICKEN BURGER 1000GM (1000 gm)"
CKMB - CHICKEN MEAT BALLS,,
CKMBA - CHICKEN MEAT BALLS BULK,,
